dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
26.31578,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
25.37313,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
31.11111,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
22.11538,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
27.83505,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.42857,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
26.31578,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
25.37313,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
29.21348,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.33898,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.39344,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.33898,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.39344,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
22.80701,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.96774,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
22.80701,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.96774,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
24.13793,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.31147,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.64285,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
19.64285,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
17.85714,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
17.74193,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
18.51851,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
26.21359,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
18.51851,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
26.21359,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
15.18987,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
24.48979,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
17.91044,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
