kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#993333,#993333,#993333,#993333,40.690081,-73.96056
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.623689,-74.150658
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.753939,-73.994844
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.707047,-73.792612
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.764818,-73.98519
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.74308,-73.954736
#993333,#993333,#993333,#993333,40.594145,-73.960415
#993333,#993333,#993333,#993333,40.80875,-73.952586
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.704267,-73.893554
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.698737,-73.831569
#993333,#993333,#993333,#993333,40.80875,-73.952586
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.796571,-73.967186
#993333,#993333,#993333,#993333,40.816392,-73.895296
#993333,#993333,#993333,#993333,40.68058,-73.974317
#993333,#993333,#993333,#993333,40.796571,-73.967186
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.815732,-73.94542
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.706222,-73.950974
#993333,#993333,#993333,#993333,40.644726,-74.077483
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.648421,-73.904897
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.729939,-73.810433
#993333,#993333,#993333,#993333,40.760185,-73.767843
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.716196,-73.997491
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.815732,-73.94542
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.810396,-73.925311
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.82257,-73.911307
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.695469,-73.982825
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.83089,-73.827285
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.856163,-73.844397
#993333,#993333,#993333,#993333,40.722364,-73.851474
#993333,#993333,#993333,#993333,40.644726,-74.077483
#993333,#993333,#993333,#993333,40.664527,-73.947739
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.82257,-73.911307
#993333,#993333,#993333,#993333,40.695469,-73.982825
#993333,#993333,#993333,#993333,40.883383,-73.902333
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.57385,-74.105496
#993333,#993333,#993333,#993333,40.716508,-73.98392
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.856163,-73.844397
#993333,#993333,#993333,#993333,40.639022,-74.022464
#993333,#993333,#993333,#993333,40.815732,-73.94542
#993333,#993333,#993333,#993333,40.726554,-73.987828
#993333,#993333,#993333,#993333,40.815732,-73.94542
#993333,#993333,#993333,#993333,40.664527,-73.947739
#993333,#993333,#993333,#993333,40.764818,-73.98519
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.810396,-73.925311
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.82257,-73.911307
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.810396,-73.925311
#993333,#993333,#993333,#993333,40.602603,-74.003088
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.762334,-73.826917
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.689615,-73.924393
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.602603,-74.003088
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.83089,-73.827285
#993333,#993333,#993333,#993333,40.767177,-73.963807
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.698737,-73.831569
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.760185,-73.767843
#993333,#993333,#993333,#993333,40.644726,-74.077483
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.887451,-73.847608
