dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
0.0,#00111a,#00111a,#00111a,#00111a,40.761511,-73.988638
8.687943,#00111a,#00111a,#00111a,#00111a,40.728612,-73.887201
5.660377,#00111a,#00111a,#00111a,#00111a,40.737549,-73.853002
1.923076,#00111a,#00111a,#00111a,#00111a,40.712254,-73.983975
10.48387,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
0.0,#00111a,#00111a,#00111a,#00111a,40.735539,-73.98745
9.7867,#00111a,#00111a,#00111a,#00111a,40.582123,-73.971711
2.259887,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
13.86861,#00111a,#00111a,#00111a,#00111a,40.68468,-73.991029
4.761904,#00111a,#00111a,#00111a,#00111a,40.689255,-73.841151
11.11111,#00111a,#00111a,#00111a,#00111a,40.811068,-73.909522
1.020408,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
0.7633587,#00111a,#00111a,#00111a,#00111a,40.700606,-73.794181
8.130081,#00111a,#00111a,#00111a,#00111a,40.855278,-73.8825
0.0,#00111a,#00111a,#00111a,#00111a,40.761336,-73.995727
2.803738,#00111a,#00111a,#00111a,#00111a,40.841511,-73.874929
4.918032,#00111a,#00111a,#00111a,#00111a,40.827297,-73.897371
4.615384,#00111a,#00111a,#00111a,#00111a,40.647776,-73.921543
1.675977,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
10.37037,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
4.938271,#00111a,#00111a,#00111a,#00111a,40.705038,-73.938666
12.5,#00111a,#00111a,#00111a,#00111a,40.713018,-73.798598
11.49425,#00111a,#00111a,#00111a,#00111a,40.641102,-73.898146
0.8849557,#00111a,#00111a,#00111a,#00111a,40.66927,-73.97875
11.42857,#00111a,#00111a,#00111a,#00111a,40.681918,-73.945597
4.545454,#00111a,#00111a,#00111a,#00111a,40.839514,-73.901847
0.0,#00111a,#00111a,#00111a,#00111a,40.827748,-73.900672
5.0,#00111a,#00111a,#00111a,#00111a,40.767928,-73.988097
13.72549,#00111a,#00111a,#00111a,#00111a,40.684668,-73.947523
5.376344,#00111a,#00111a,#00111a,#00111a,40.619759,-73.958969
4.09836,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
11.25827,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
4.545454,#00111a,#00111a,#00111a,#00111a,40.69735,-73.984717
13.49693,#00111a,#00111a,#00111a,#00111a,40.836331,-73.890325
1.298701,#00111a,#00111a,#00111a,#00111a,40.633643,-73.917554
2.752293,#00111a,#00111a,#00111a,#00111a,40.817601,-73.897985
0.7968127,#00111a,#00111a,#00111a,#00111a,40.593438,-73.98625
7.317073,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
3.970223,#00111a,#00111a,#00111a,#00111a,40.743367,-74.002764
11.56648,#00111a,#00111a,#00111a,#00111a,40.66691,-73.895137
5.555555,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
9.722222,#00111a,#00111a,#00111a,#00111a,40.806977,-73.938611
11.80124,#00111a,#00111a,#00111a,#00111a,40.66691,-73.895137
7.352941,#00111a,#00111a,#00111a,#00111a,40.759219,-73.96695
7.526881,#00111a,#00111a,#00111a,#00111a,40.817601,-73.897985
1.709401,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
0.0,#00111a,#00111a,#00111a,#00111a,40.742414,-74.002516
3.064066,#00111a,#00111a,#00111a,#00111a,40.729973,-73.992705
11.53846,#00111a,#00111a,#00111a,#00111a,40.722423,-73.9906
14.95327,#00111a,#00111a,#00111a,#00111a,40.817219,-73.911815
8.571428,#00111a,#00111a,#00111a,#00111a,40.839933,-73.839158
7.142857,#00111a,#00111a,#00111a,#00111a,40.741218,-73.988787
13.63636,#00111a,#00111a,#00111a,#00111a,40.665521,-73.912086
1.149425,#00111a,#00111a,#00111a,#00111a,40.658815,-73.942977
5.0,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
2.183406,#00111a,#00111a,#00111a,#00111a,40.650104,-73.949582
0.5763688,#00111a,#00111a,#00111a,#00111a,40.735539,-73.98745
0.0,#00111a,#00111a,#00111a,#00111a,40.793765,-73.948464
9.27835,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
9.356725,#00111a,#00111a,#00111a,#00111a,40.697083,-73.786685
14.79028,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
3.0,#00111a,#00111a,#00111a,#00111a,40.806977,-73.938611
13.82978,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
7.75862,#00111a,#00111a,#00111a,#00111a,40.732148,-73.853596
0.0,#00111a,#00111a,#00111a,#00111a,40.742414,-74.002516
12.29946,#00111a,#00111a,#00111a,#00111a,40.745836,-73.940381
6.329113,#00111a,#00111a,#00111a,#00111a,40.678231,-73.915835
7.692307,#00111a,#00111a,#00111a,#00111a,40.631698,-73.953803
14.28571,#00111a,#00111a,#00111a,#00111a,40.833923,-73.902875
10.86956,#00111a,#00111a,#00111a,#00111a,40.811068,-73.909522
12.07729,#00111a,#00111a,#00111a,#00111a,40.799309,-73.934182
0.0,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
11.82795,#00111a,#00111a,#00111a,#00111a,40.823164,-73.911188
14.01869,#00111a,#00111a,#00111a,#00111a,40.865616,-73.924801
5.208333,#00111a,#00111a,#00111a,#00111a,40.68397,-73.980304
