,index,schoolName,Category,Cohort,year,nrStudents,dropoutperc,lon,lat,district
101,2101,TALENT UNLIMITED HS,All Students,4 year June,2012,127,0.0,-73.9903460996,40.76367915,New York
102,2140,MURRY BERGTRAUM HS FOR BUSINESS CAREERS,All Students,4 year August,2012,220,21.36363,-73.9600568,40.7660582,New York
103,2148,MURRY BERGTRAUM HS FOR BUSINESS CAREERS,All Students,4 year June,2012,220,21.36363,-73.9600568,40.7660582,New York
104,2187,JACQUELINE KENNEDY ONASSIS HS,All Students,4 year August,2012,158,9.49367,-74.0011693,40.7114702,New York
105,2195,JACQUELINE KENNEDY ONASSIS HS,All Students,4 year June,2012,158,9.49367,-74.0011693,40.7114702,New York
106,2234,REPERTORY COMPANY HS FOR THEATRE ARTS,All Students,4 year August,2012,55,0.0,-73.983505,40.757624,New York
107,2242,REPERTORY COMPANY HS FOR THEATRE ARTS,All Students,4 year June,2012,55,0.0,-73.983505,40.757624,New York
108,2281,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,All Students,4 year August,2012,96,1.041666,-73.983505,40.757624,New York
109,2284,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,All Students,4 year June,2012,96,1.041666,-73.983505,40.757624,New York
110,2289,HARVEST COLLEGIATE HS,All Students,4 year August,2012,118,0.8474576,-73.9874497,40.7355392,New York
111,2291,HARVEST COLLEGIATE HS,All Students,4 year June,2012,118,0.8474576,-73.9874497,40.7355392,New York
112,2311,MANHATTAN BRIDGES HS,All Students,4 year August,2012,120,3.333333,-73.9935842,40.7655507,New York
113,2319,MANHATTAN BRIDGES HS,All Students,4 year June,2012,120,3.333333,-73.9935842,40.7655507,New York
114,2355,NEW DESIGN HS,All Students,4 year August,2012,95,5.263157,-73.9935842,40.7655507,New York
115,2363,NEW DESIGN HS,All Students,4 year June,2012,95,5.263157,-73.9935842,40.7655507,New York
116,2402,INDEPENDENCE HS,All Students,4 year August,2012,143,20.27972,-73.9825283,40.7147219,New York
117,2410,INDEPENDENCE HS,All Students,4 year June,2012,143,20.27972,-73.9825283,40.7147219,New York
118,2449,HS FOR DUAL LANGUAGE AND ASIAN STUDIES,All Students,4 year August,2012,114,0.0,-73.9891223,40.7680257,New York
119,2457,HS FOR DUAL LANGUAGE AND ASIAN STUDIES,All Students,4 year June,2012,114,0.0,-73.9891223,40.7680257,New York
120,2490,ACADEMY FOR SOFTWARE ENGINEERING,All Students,4 year August,2012,120,0.0,-73.9825283,40.7147219,New York
121,2491,ACADEMY FOR SOFTWARE ENGINEERING,All Students,4 year June,2012,120,0.0,-73.9825283,40.7147219,New York
122,2492,LIBERTY HS ACADEMY FOR NEWCOMERS,All Students,4 year August,2012,76,32.89473,-73.8824999,40.8552778,Bronx
123,2500,LIBERTY HS ACADEMY FOR NEWCOMERS,All Students,4 year June,2012,76,32.89473,-73.8824999,40.8552778,Bronx
124,2539,NEW YORK HARBOR SCHOOL,All Students,4 year August,2012,99,3.030303,-74.000396,40.74183,New York
125,2547,NEW YORK HARBOR SCHOOL,All Students,4 year June,2012,99,3.030303,-74.000396,40.74183,New York
126,2583,CITY AS SCHOOL,All Students,4 year August,2012,230,0.4347826,-74.0116506116,40.70098785,New York
127,2591,CITY AS SCHOOL,All Students,4 year June,2012,230,0.4347826,-74.0116506116,40.70098785,New York
128,2630,URBAN ACADEMY LABORATORY HS,All Students,4 year August,2012,29,6.896551,-74.0063103,40.7293243,New York
129,2638,URBAN ACADEMY LABORATORY HS,All Students,4 year June,2012,29,6.896551,-74.0063103,40.7293243,New York
130,2677,SATELLITE ACADEMY HS,All Students,4 year August,2012,116,18.96551,-73.9596032618,40.76557985,New York
131,2685,SATELLITE ACADEMY HS,All Students,4 year June,2012,116,18.96551,-73.9596032618,40.76557985,New York
132,2724,MANHATTAN COMPREHENSIVE NIGHT AND DAY HS,All Students,4 year August,2012,253,24.11067,-73.990722,40.74748,New York
133,2732,MANHATTAN COMPREHENSIVE NIGHT AND DAY HS,All Students,4 year June,2012,253,24.11067,-73.990722,40.74748,New York
134,2771,RICHARD R GREEN HS OF TEACHING,All Students,4 year August,2012,111,19.81981,-73.9909866,40.723986,New York
135,2779,RICHARD R GREEN HS OF TEACHING,All Students,4 year June,2012,111,19.81981,-73.9909866,40.723986,New York
136,2818,HARVEY MILK HS,All Students,4 year August,2012,30,10.0,-74.0129715,40.7050995,New York
137,2826,HARVEY MILK HS,All Students,4 year June,2012,30,10.0,-74.0129715,40.7050995,New York
138,2865,HS OF FASHION INDUSTRIES,All Students,4 year August,2012,456,0.8771929,-73.992705,40.729973,New York
139,2873,HS OF FASHION INDUSTRIES,All Students,4 year June,2012,456,0.8771929,-73.992705,40.729973,New York
140,2912,HUMANITIES PREPARATORY ACADEMY,All Students,4 year August,2012,47,2.127659,-73.996619,40.745696,New York
141,2920,HUMANITIES PREPARATORY ACADEMY,All Students,4 year June,2012,47,2.127659,-73.996619,40.745696,New York
142,2959,CHELSEA CAREER AND TECHNICAL EDUCATION HS,All Students,4 year August,2012,94,4.255319,-74.0027635653,40.74336655,New York
143,2967,CHELSEA CAREER AND TECHNICAL EDUCATION HS,All Students,4 year June,2012,94,4.255319,-74.0027635653,40.74336655,New York
144,3051,HS OF GRAPHIC COMMUNICATION ARTS,All Students,4 year August,2012,121,19.83471,-73.9809815,40.7462177,New York
145,3059,HS OF GRAPHIC COMMUNICATION ARTS,All Students,4 year June,2012,121,19.83471,-73.9809815,40.7462177,New York
146,3098,ART AND DESIGN HS,All Students,4 year August,2012,354,3.38983,-73.9903460996,40.76367915,New York
147,3106,ART AND DESIGN HS,All Students,4 year June,2012,354,3.38983,-73.9903460996,40.76367915,New York
148,3145,LIFE SCIENCES SECONDARY SCHOOL,All Students,4 year August,2012,129,10.07751,-73.9669503469,40.7592191429,New York
149,3153,LIFE SCIENCES SECONDARY SCHOOL,All Students,4 year June,2012,129,10.07751,-73.9669503469,40.7592191429,New York
150,3255,MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,All Students,4 year August,2012,101,16.83168,-73.9856422935,40.77489495,New York
151,3263,MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,All Students,4 year June,2012,101,16.83168,-73.9856422935,40.77489495,New York
152,3293,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,All Students,4 year August,2012,94,13.82978,-73.9856422935,40.77489495,New York
153,3301,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,All Students,4 year June,2012,94,13.82978,-73.9856422935,40.77489495,New York
154,3334,URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,All Students,4 year August,2012,88,20.45454,-73.9856422935,40.77489495,New York
155,3339,URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,All Students,4 year June,2012,88,20.45454,-73.9856422935,40.77489495,New York
156,3352,GLOBAL LEARNING COLLABORATIVE,All Students,4 year August,2012,100,8.0,-73.974201,40.785978,New York
157,3357,GLOBAL LEARNING COLLABORATIVE,All Students,4 year June,2012,100,8.0,-73.974201,40.785978,New York
158,3374,INNOVATION DIPLOMA PLUS,All Students,4 year August,2012,69,7.246376,-73.974201,40.785978,New York
159,3381,INNOVATION DIPLOMA PLUS,All Students,4 year June,2012,69,7.246376,-73.974201,40.785978,New York
160,3408,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,All Students,4 year August,2012,88,11.36363,-73.974201,40.785978,New York
161,3416,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,All Students,4 year June,2012,88,11.36363,-73.974201,40.785978,New York
162,3455,FRANK MCCOURT HS,All Students,4 year August,2012,77,0.0,-73.9542185,40.8026256,New York
