,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
69743,Monday,Sep,14,2015,2000,GRAND LARCENY,Bronx,40.853239381,-73.907875626
35824,Monday,Jul,6,2015,1800,BURGLARY,Bronx,40.884849592,-73.865471954
186,Thursday,Jul,23,2015,1600,MURDER,Bronx,40.842445074,-73.912198673
69627,Sunday,Sep,13,2015,1700,GRAND LARCENY,Bronx,40.866966017,-73.842307387
24380,Thursday,Jul,23,2015,2300,FELONY ASSAULT,Bronx,40.808373589,-73.914107578
19722,Wednesday,May,6,2015,1900,FELONY ASSAULT,Bronx,40.828038356,-73.912568181
35360,Thursday,Jun,25,2015,800,BURGLARY,Bronx,40.861845475,-73.902950605
9607,Tuesday,Jul,14,2015,1800,ROBBERY,Bronx,40.862763361,-73.901080165
1234,Friday,Aug,28,2015,1200,RAPE,Bronx,40.869058532,-73.879630148
11961,Saturday,Aug,29,2015,600,ROBBERY,Bronx,40.818962674,-73.914032492
25022,Sunday,Aug,2,2015,700,FELONY ASSAULT,Bronx,40.86333812,-73.899199347
40813,Monday,Nov,24,2014,1200,GRAND LARCENY,Bronx,40.860396449,-73.890860033
63095,Tuesday,Jul,21,2015,1600,GRAND LARCENY,Bronx,40.806604291,-73.911863053
29339,Thursday,Jan,15,2015,100,BURGLARY,Bronx,40.823633044,-73.90896804
52297,Saturday,Apr,18,2015,1300,GRAND LARCENY,Bronx,40.824332083,-73.852420589
34700,Tuesday,Jun,9,2015,1900,BURGLARY,Bronx,40.857761581,-73.888044648
40732,Monday,Nov,17,2014,900,GRAND LARCENY,Bronx,40.811946866,-73.906592535
25800,Friday,Aug,14,2015,1600,FELONY ASSAULT,Bronx,40.840983572,-73.925973925
51906,Wednesday,Apr,15,2015,900,GRAND LARCENY,Bronx,40.84847718,-73.834120981
2960,Wednesday,Feb,4,2015,2300,ROBBERY,Bronx,40.883382579,-73.902333309
14416,Saturday,Jan,17,2015,1600,FELONY ASSAULT,Bronx,40.842152555,-73.885374752
40420,Wednesday,Oct,1,2014,900,GRAND LARCENY,Bronx,40.8807727,-73.882104161
55840,Tuesday,May,19,2015,1500,GRAND LARCENY,Bronx,40.83041377,-73.815747858
